policy_id,policy_name,policy_type,policy_start_date,policy_duration_months,policy_budget_crore,country,state,population_million,urbanization_rate,gdp_growth_before,gdp_growth_after,inflation_rate_before,inflation_rate_after,unemployment_rate_before,unemployment_rate_after,poverty_rate_before,poverty_rate_after,health_index_before,health_index_after,education_index_before,education_index_after,overall_impact_score,policy_success_level
0,11,1,940,50,49872.54,0,4,59.65,26.44,3.51,5.39,3.69,1.79,6.62,4.28,34.67,30.0,47.65,47.37,68.69,68.44,35.06,2
1,10,1,93,42,41886.78,0,4,27.25,78.44,1.52,3.16,5.68,5.38,9.15,9.3,14.43,16.31,59.96,65.93,73.92,83.51,36.79,2
2,8,2,986,30,42461.03,0,1,100.98,76.63,3.16,3.75,7.3,6.07,5.72,6.09,28.39,24.1,44.83,46.9,66.04,68.54,17.22,1
3,4,0,780,35,42751.77,0,4,92.89,28.67,1.82,2.65,3.31,2.21,5.0,2.12,23.78,24.43,67.25,67.24,50.55,53.28,21.56,2
4,6,4,975,59,47461.54,0,0,85.92,85.81,3.78,6.09,5.13,4.33,6.04,3.29,24.4,17.16,66.09,71.85,71.38,72.74,57.27,0
5,6,4,633,26,45773.67,0,4,3.82,67.1,3.01,3.24,3.54,2.14,9.87,9.77,16.5,18.38,61.14,64.41,56.56,58.7,10.54,1
6,6,4,1242,46,6127.23,0,2,5.05,53.35,5.76,5.88,6.36,6.29,4.49,4.82,28.27,24.61,56.65,57.41,70.82,79.71,17.18,1
7,7,2,245,37,24362.01,0,0,44.25,24.57,3.11,2.66,5.29,6.11,8.63,10.06,10.71,12.28,44.9,50.48,72.85,73.04,-9.55,1
8,4,0,165,35,2964.7,0,1,21.8,21.7,4.4,4.0,5.21,4.92,8.81,10.16,20.94,19.01,56.89,58.74,60.23,59.47,-1.95,1
9,10,1,1196,34,31193.66,0,2,88.32,25.03,3.66,5.11,5.6,6.88,7.9,7.62,16.39,9.45,68.42,67.77,69.76,79.21,39.2,2
10,9,4,323,17,38672.59,0,3,84.5,88.27,4.27,5.77,3.76,3.41,4.13,5.32,26.91,21.25,62.38,73.69,60.76,70.43,48.39,0
11,10,1,272,45,5005.13,0,1,13.79,56.07,1.92,2.51,4.88,4.89,5.18,5.85,27.89,22.46,53.31,53.28,49.57,51.89,11.24,1
12,9,4,616,16,11940.72,0,1,71.26,55.16,1.55,1.71,7.95,6.63,4.58,3.36,33.9,35.44,47.71,58.73,65.38,66.24,18.18,1
13,8,2,1257,40,20703.31,0,4,17.42,52.12,5.15,5.46,5.25,6.05,9.44,6.62,19.35,15.61,54.82,62.26,51.16,60.84,42.88,0
14,7,2,1137,18,31689.12,0,0,112.34,47.23,5.5,7.49,4.12,3.99,5.13,3.27,25.16,18.34,41.63,49.39,47.28,55.82,69.28,3
15,3,3,998,34,27070.92,0,0,82.39,36.48,2.44,3.69,5.41,6.37,9.34,10.31,27.96,24.79,56.41,56.22,47.77,54.69,25.73,2
16,11,1,391,25,44365.65,0,2,57.22,70.33,3.8,4.66,7.12,7.0,7.88,7.84,13.26,6.75,50.14,49.7,59.16,60.02,24.75,2
17,6,4,50,19,42180.72,0,1,29.29,39.48,4.75,6.33,7.7,6.16,7.7,5.05,30.68,24.69,44.08,48.55,62.08,64.78,51.35,0
18,8,2,1107,7,33352.58,0,1,59.73,46.35,4.92,5.47,3.73,4.99,9.67,9.81,31.04,27.91,44.57,53.43,69.58,78.04,37.44,2
19,11,1,966,53,45434.35,0,3,64.98,22.32,5.64,6.8,4.0,2.89,8.04,7.91,22.2,20.42,46.71,45.11,49.45,57.97,24.97,2
20,1,0,916,42,27941.76,0,3,84.76,45.84,4.18,5.42,5.67,6.45,4.11,2.81,31.94,26.72,67.13,75.5,68.9,75.8,49.0,0
21,10,1,115,37,36129.94,0,3,53.8,80.44,5.55,7.58,5.04,6.45,5.89,5.19,21.47,23.08,55.64,61.74,59.61,62.03,32.98,2
22,5,3,319,27,44665.14,0,4,98.59,69.43,4.3,5.36,7.85,8.93,8.16,8.64,24.55,17.07,55.99,67.86,48.04,56.93,55.67,0
23,4,0,1041,59,45075.65,0,1,83.33,47.75,5.87,5.93,7.24,7.26,8.05,5.22,31.66,23.78,56.44,58.45,71.19,72.46,31.05,2
24,6,4,252,22,48176.62,0,2,14.37,48.52,5.72,6.31,5.56,4.73,9.51,7.87,14.27,13.61,58.28,61.45,61.11,69.45,33.89,2
25,5,3,65,31,41012.3,0,2,38.0,58.71,3.38,5.24,5.45,5.05,9.81,11.08,31.98,27.59,50.92,58.66,53.0,52.21,34.78,2
26,0,4,1012,42,19798.65,0,0,34.82,20.24,5.74,6.0,7.54,8.26,9.7,8.8,16.51,18.38,40.63,48.25,71.86,72.74,19.2,1
27,10,1,875,30,43338.35,0,0,103.1,77.34,3.04,4.35,5.08,5.6,8.82,8.7,20.96,14.88,66.95,74.61,66.55,66.88,33.46,2
28,7,2,919,59,17300.47,0,1,61.7,60.26,5.96,7.93,5.5,6.84,7.12,8.01,15.0,10.65,69.52,71.63,57.09,57.02,25.61,2
29,3,3,664,10,24171.28,0,0,92.95,28.84,2.32,3.49,5.05,6.28,7.81,7.5,13.19,10.82,58.3,60.96,73.65,78.65,32.64,2
30,1,0,268,37,13857.12,0,0,101.09,82.69,4.81,6.46,3.45,1.8,7.76,7.91,17.72,19.6,57.36,68.45,63.44,63.7,30.89,2
31,7,2,775,40,19668.97,0,2,16.29,33.42,2.17,3.78,6.5,5.96,6.31,5.64,23.1,17.72,52.5,53.6,59.07,67.31,45.71,0
